timestamp,open,high,low,close,volume
2021-01-06,127.7200,131.0499,126.3820,126.6000,155087970
2021-01-05,128.8900,131.7400,128.4300,131.0100,97664898
2021-01-04,133.5200,133.6116,126.7600,129.4100,143301887
2020-12-31,134.0800,134.7400,131.7200,132.6900,99116586
2020-12-30,135.5800,135.9900,133.4000,133.7200,96452124
2020-12-29,138.0500,138.7890,134.3409,134.8700,121047324
2020-12-28,133.9900,137.3400,133.5100,136.6900,123124632
2020-12-24,131.3200,133.4600,131.1000,131.9700,54930064
2020-12-23,132.1600,132.4300,130.7800,130.9600,88223692
2020-12-22,131.6100,134.4050,129.6500,131.8800,169351825
2020-12-21,125.0200,128.3100,123.4490,128.2300,121251553
2020-12-18,128.9600,129.1000,126.1200,126.6550,192541496
2020-12-17,128.9000,129.5800,128.0450,128.7000,94359811
2020-12-16,127.4100,128.3700,126.5600,127.8100,98208591
2020-12-15,124.3400,127.9000,124.1300,127.8800,157572262
2020-12-14,122.6000,123.3500,121.5400,121.7800,79075988
2020-12-11,122.4300,122.7600,120.5500,122.4100,86939786
2020-12-10,120.5000,123.8700,120.1500,123.2400,81312170
2020-12-09,124.5300,125.9500,121.0000,121.7800,115089193
2020-12-08,124.3700,124.9800,123.0900,124.3800,82225512
2020-12-07,122.3100,124.5700,122.2500,123.7500,86711990
2020-12-04,122.6000,122.8608,121.5200,122.2500,78260421
2020-12-03,123.5200,123.7800,122.2100,122.9400,78967630
2020-12-02,122.0200,123.3700,120.8900,123.0800,89004195
2020-12-01,121.0100,123.4693,120.0100,122.7200,125920963
2020-11-30,116.9700,120.9700,116.8100,119.0500,169410176
2020-11-27,116.5700,117.4900,116.2200,116.5900,46691331
2020-11-25,115.5500,116.7500,115.1700,116.0300,76499234
2020-11-24,113.9100,115.8500,112.5900,115.1700,113226248
2020-11-23,117.1800,117.6202,113.7500,113.8500,127959318
2020-11-20,118.6400,118.7700,117.2900,117.3400,73604287
2020-11-19,117.5900,119.0600,116.8100,118.6400,74112972
2020-11-18,118.6100,119.8200,118.0000,118.0300,76322111
2020-11-17,119.5500,120.6741,118.9600,119.3900,74270973
2020-11-16,118.9200,120.9900,118.1460,120.3000,91183018
2020-11-13,119.4400,119.6717,117.8700,119.2600,81688586
2020-11-12,119.6200,120.5300,118.5700,119.2100,103350674
2020-11-11,117.1900,119.6300,116.4400,119.4900,112294954
2020-11-10,115.5500,117.5900,114.1300,115.9700,138023390
2020-11-09,120.5000,121.9900,116.0500,116.3200,154515315
2020-11-06,118.3200,119.2000,116.1300,118.6900,114457922
2020-11-05,117.9500,119.6200,116.8686,119.0300,126387074
2020-11-04,114.1400,115.5900,112.3500,114.9500,138235482
2020-11-03,109.6600,111.4900,108.7300,110.4400,107624448
2020-11-02,109.1100,110.6800,107.3200,108.7700,122866899
2020-10-30,111.0600,111.9900,107.7200,108.8600,190573476
2020-10-29,112.3700,116.9300,112.2000,115.3200,146129173
2020-10-28,115.0500,115.4300,111.1000,111.2000,143937823
2020-10-27,115.4900,117.2800,114.5399,116.6000,92276772
2020-10-26,114.0100,116.5500,112.8800,115.0500,111850657
2020-10-23,116.3900,116.5500,114.2800,115.0400,82572645
2020-10-22,117.4500,118.0400,114.5900,115.7500,101987954
2020-10-21,116.6700,118.7050,116.4500,116.8700,89945980
2020-10-20,116.2000,118.9800,115.6300,117.5100,124423728
2020-10-19,119.9600,120.4190,115.6600,115.9800,120639337
2020-10-16,121.2800,121.5480,118.8100,119.0200,115393808
2020-10-15,118.7200,121.2000,118.1500,120.7100,112559219
2020-10-14,121.0000,123.0300,119.6200,121.1900,151062308
2020-10-13,125.2700,125.3900,119.6500,121.1000,262330451
2020-10-12,120.0600,125.1800,119.2845,124.4000,240226769
